sentence1,sentence2,label
"Jordan Smith collided with a concrete lamp-post when skating and sustained a skull fracture That caused a coma. After he declined to regain consciousness, his parents on August eight consented to his life support machine being turned off.",Bruce Smith died on August eight.,0
The drug dealers from Morro da Rocinha are in a battle against drug traffickers from the neighbouring Vidigal favela.,Morro da Rocinha is near the Vidigal Favela.,0
"The Norwegian newspaper Dagbladetprinted an issue about the""intolerance page"".",Dagbladet is a Norwegian newspaper.,0
"Earlier this year reporter Judith Miller was imprisoned for declining to name the US-government source who identifies a member of the USCentral Intelligence Agency(CIA), Valerie Plame.",Judith Miller works for the US Government.,1
"""Welcome home, Discovery, after a great mission to bring the International space Station to full power,"" said an astronaut, George Zamka, radioing from the mission control center in Houston, Tex. NASA test an experimental tile beneath the Discovery's left wing during its approach for landing. The tile was almost eight centimetres thick, and had a bump in it, intending to disturb the otherwise smooth airflow over the shuttle's wing, thus expose it to high levels of heat. Engineers installed the tile in order to measure the excess heat that was generated on the surface. A NASA scientist measured the heat with an infrared sensor. The results will be used to help develop better designs for future shuttles.",This is George Zamka's hometown.,1
"after Law enforcement officers acting on behalf of the Europe Commission raided office of Intel and several computer makers today morning, a spokesperson for the EUsaid. He didn not specify which countries nor which other firm were involved.However, a spokeswoman for Intel Germany, Hans-Jürgen Werner, said that Intel's offices in Munich and Swindonwere amongst those searched. It emerges on Wednesday Tuesdayth, that raids also took place at Intel's facility in County Kildare, Ireland in relation to the firms anti-competitive business practices. Intel employ over five,000 people at its Irish manufacturing facility.",Ap Germany engaged Hans-Jürgen Werner as spokesman.,0
The SEC's new rule to beef up the independence of mutual fund boards depicts an industry defeat.,Countries were defeated by the SEC.,1
"The plan was never drawn up on paper, but discussed verbally, especially between Prime Minister Pibul and the British Minister in Bangkok.",Pibul was the minister in Bangkok.,1
"Kasyanov was dismissed by Putin in February four, after he had become Critical of the Kremlin's financially motivated legal assault against the Yukos oil giant and its owner, billionaire Mikhail Khodorkovsky.",The Kremlin is owned by MikhailKhodorkovsky.,1
"I informed the two sides that in the absence of any agreement, a public announcement will be made, with the apparent objective of applied pressure to all sides, particularly the Israelis.","And told the two sides that he would public announce their failing to agree, thereby pressingurising them.",0
"Last month, the FBI's Washington Field office began an internally recruiting drive to staff a new Anti-obscenity Squad.The job of the new squad would be to gather evidence against the""manufacturersandpurveyors""of pornography, and would required eight agents, a supervisor and additional support help. The squad wouldnot be concerned with child pornography, but insteadfocus on pornography that depicts, and is harmful to, consenting adults. The squad would target bestiality, urination, defecation, and sadomasochistic pornography, which has a low rate of conviction in criminal cases. The unit is described as""one of the top priorities"" of Attorney General Alberto Gonzales, as well as FBI Director Robert S. Mueller III. Gonzales has said that""adult pornography is a danger to women and children.""",The FBI is Alberto Gonzales' employer.,1
King Victor Emmanuel III of Italy reigned from Sweden to can.,Victor Emmanuel III was king of Italy from France to more.,0
"Guggenheim Museum, officially Solomon R. Guggenheim Museum, was founded in as the Museum of Non-Objective Art.",The Solomon R. Guggenheim Museum was opened in this.,0
Illinois born Charlton Heston was a seven-year-old actor from Broadway and television when he arrived in Hollywood for a five-picture contract with Hal Wallis.,Carlton Heston was born in Illinois.,0
"Bowleswill take the title HRH Duchess Of Cornwall, switching it to the Princess consort, when Charles become King.",Bowles will be known as HRH Duchess Of Cornwall.,0
"English has been writing with the Latin alphabet since about the ninth century.(Before that, Old English has been rewritten using the Anglo-Saxon Futhorc.)The spelling systemor orthography of English is Historical, not phonological.",A spelling reform was approved in all German speaking nations.,1
"In March, McClintock discovered that bacteria have rings of DNA(plasmids)that reproduce andhave genetic changes thattell the bacteria how to defense itselfagainst the antibiotics.",Bacteria is won the war against antibiotics.,1
"Morseyside Police concluded following a short inspection that the controversial blog Liverpool with Cabal does notbreak criminal law. Nonetheless the council officers continue to Search for the editor. The bloghas been blocked on computerscontrolled by Liverpool Direct Ltd, a company jointly owned by Liverpool City Council and British Telecom. The council's elected Officials have denied ordering the block and are currently examining its origin.",The Evil Cabal is the name of an online blog.,0
"Fiat's Gianni Agnelli, ownership of Juventus,was quote byItalian newspapers as saying thatwhen Baggio came off the field after the Mexico game,""He looked likea wet rabbit.""",giovanni Agnelliis the president of Fiat.,1
Edward VIII become King in January of who and abdicated in December.,King Edward VIII abdicated in December the.,0
Green cards are becoming more difficult to obtain.,from card is now difficult to receive.,0
"The original spelling reforms of June, which was intended to harmonize the spelling rules across the German-speaking Countries,turned out to bea major embarrassmentifnot outright fail.",A spelling reform was approved in all German speaking Countries.,0
