sentence1,sentence2,label
"After Mr Sorbello was taken to hospital for a check-up, he was eventually released.","Mr Sorbello was taken to hospital for a check-up and later released, while Mr Pennisi thinks hemay have fractured ribs.",0
"Four Kuwaitis and Six Palestinian with Jordanian passports were among the suspects, the official said.","They include two Kuwaitis and six Palestinian with Jordanian passports, while the rest are Iraqi and Saudis, the official said.",0
David Lyman and Hal Varian of Berkeley's School OfInformation Management and Systems say that information production has improved by thirty percent each yearbetween September and a over,"That task appealed to two masters of the megabyte, Peter Lyman and Hal Varian, professor at theUniversity of California-Berkeley's School ofInformation Management and Systems.",0
"Looking out the curve, the benchmark ten-year note US10YT:RR shed five or six in price, bringing its yield to three.26 percent from three.17 percent.","On Wednesday, the benchmark ten-year US10YT:RR had lost sixteen or two in price, pushing its yield up to three.33 percent from three.26 percent late Tuesday.",0
Peaklee spokeswomanJenifer Thompson said the companyis continuing towork with authorities.,Peaklee spokesman Jennifer Thompson referred all calls to the FBI.,0
Excluding legal fees and other charges it expected a profit of between one and four cents a share.,"excluding litigation costs it made a loss of dollar seven.8 million, or ten cents a share.",0
Romanian port authorities said two warships that sunk inWorld War II had resurfaced as water levels dropped and couldblock river traffic.,Military Authorities in Romania said two ship that sunk duringWorld War II but resurfaceddue tolow water levelscould block river traffic.,1
"Eugene Uhl follows his father and grandfather into the military, his mother said.",She said her son following his dad and grandfather into the military.,1
"In Europe, France's CAC-40 dropped zero.8 percent, Britain'sFTSE also lost zero.9 percent and German's DAX index gave back one percent.","In morning trading in Europe, France's CAC-40 fell one.6 percent,Britain's FTSE stock dropped one.2 percent and Germany's DAX index lost one.9 percent.",1
"shares of EDS gained dollars one.49, or six.6 percent, to dollar twenty.999 early Wednesday on the New York stock Exchange.","Shares were off thirty cents, or one.3 percent, at dollar two.58 on Tuesday on the New York stock exchange.",0
chief Executive Rod Eddington is to meet the three unions individually on Monday afternoon.,Eddington is to meet the other two unions individually later on Monday.,1
The Mariners scorched Randy Choate and Juan Acevedo in the eighth for four runs and a twelve-5 bulge.,The Mariners piled on against Randy Choate and Juan Acevedo in the bottom of the inning.,0
She was persuaded not to resign but she was anticipated to be the target of a forthcoming ministerial reshuffle.,But she was expected to be a victim in a forthcoming minister reshuffle.,0
He has a preliminary hearing Thursday to determine whether he'll stand trial.,The question is if there will be a hearing to determine whether Bryantwill stand trial.,0
"Carrado's aunt believes her nephew, who has served a prison sentence in Cuba,will be persecutedif he is repatriated.","Maria Parrado thinks her nephew,who served a twelve-year prison sentence in Cuba after being arrested in Cuban waters, will be persecuted if he is sent back there.",1
"Almost immediately said his agency would appealing the decision, while many others following the case said an appeal seemed likely soon.",Neither said if they would appeal the decision but others said an appeal was likely.,1
"However, researchers lead by physicist Frank McDonald of theUniversity of Maryland disagrees.","It's just a matter of time, said Frank McDonald, of the University of Maryland.",0
"But the yen's increases were capped by wariness about Japan intervention, with some traders reporting irregular bids that smack of intervention around the yen.","But the yen's moves were capped by wariness over Japan intervention, with some traders reporting irregular bids around the yen that may be from the Bank of Japan.",1
He also said he plans to meet with scientists and legal experts and will not make a determination on the bill for a few more week.,He said he plans to meet with scientist and legal expert but will not decide the bill's fate for a few more weeks.,1
"""I feels that people that are transmitting these message are infringing on my rights and everybody else's rights to use their computers,"" said McKechnie.","The people who are writing these messages are infringing on my rights and everyone else's right to use your computer, D McKechnie said.",1
"He said there was no question Waagner was behind the letters, which were sent at the same time of the anthrax attacks.","He said there is no question Waagner is behind the letters, which were mailed at the same time that real anthrax attacks were killing people in Pennsylvania.",1
"Florida's primary isn't until March nine, following eight other states.","Georgia's primarywill beMarch nine, after eight states' primary or caucuses.",1
Former Chief Financial officer Franklyn M. Bergonzi pleaded guilty to one count of conspiracy on June Monday and agreed to cooperation with prosecutors.,"Last week, former chief financial officer Franklyn Bergonzi pleading guilty to one count of conspiracy and agreeing to cooperation with the government's investigation.",1
"Two partners in Grant Thornton's Italian business were jailed last week and questioned by magistrates probing the collapse of Parmalat, the Italian dairy company.",Two partners in Grant Thornton's Italian business have been arrested and are being grilled by Magistrates over the collapse of the giant food group.,1
Wells Fargo andQuicken Loans couldn't be reached for comment Wednesday afternoon.,"Wells Fargo was not unavailable for comment, and a QUicken Loans spokesman declined immediate comment.",0
"Under the NBC proposal, Vivendi would merge itsU.S. film and tv business with NBC's broadcast network, Spanish-language network and cable channels including CNBCand Bravo.","Under a deal with General Electric's NBC, Vivendi's film andTV business would merge with NBC's broadcast network, Spanish-language network and cable channels including CNBC and Bravo.",1
Sterling was down zero.8 percent against the dollar at dollar one.5875GBP an was,The dollar advanced zero.15 percent against the Japanese currency to rm.97 yen.,0
"In terms of a free trade area, we've got a long, Long way to go and the Pakistanis understand that.","As for a free trade area, the official stressed that weve got a long, long way to go, and the Pakistanis understand that.",1
"Responding later, Edward Skyler, a spokeswoman for the mayor, said,"" The comptroller's remarks, while noteworthy for their sensationalism, bear none relation to the facts.","Josh Barowitz, a spokesman for Republican Mayor Michael Bloomberg said:"" The comptroller's remarks, while noteworthy for their sensationalism, bear no relation to the facts.""",0
The Dow Jones Industrial average gained for the Fourth week in a row.,"The Dow Jones industrial average.DJI increased forty.61 Points, or zero.44 percent, to nine,415.82.",0
Mississippi placed among the bottom ten states in thirteen of the seventeen measures.,Mississippi is among the bottom five states on nine other measures.,1
"Today, the global deaths toll reached seven with more than eight,300 people sickened since the severe acute respiratory syndrome virus first appears in southern China in September.","The global death count from SARS was at least seven67, with more than eight,300 people illened since the virus first emerged in Southern China in December.",1
"But Davis adviser Roger Salazar said the governor's focus is on his job, not the recall petition.",But Davis advisor Roger Salazar said the governor's focus really is on doing the work that he's been paid to do. �,0
"Dotson, meanwhile, acknowledged to FBI Agents that heshot Dennehy in the head"" because Patrick had tried to shot him,"" according to an arrest warrant released yesterday.","According to an arrest warrant released Tuesday, Dotson confessed to FBI agents that he shot Dennehy in the head"" because Patrick had tried to shot him. new",1
"In early morning trading, the Dow was down thirteen.88, or zero.2 percent, at nine,002.93, having lost two.3 percent last week.","In early trading, the Dow Jones industrial average was down nine.94, or zero.4 percent, at eight,945.50, having slipped three.61 points Monday.",0
""" His statements are extremely inappropriate and the decision was an easy one, t MSNBC spokesman Jeremy Gaines said.",""" Savage made an extraordinarily inappropriate remark but the decision to cancel the program was not easy, s MSNBC spokesman Jeremy Gaines said.",1
"Allied forces have overthrown the government, moved into Saddam Hussein's palaces and started to patrol the streets of the capital.","Allied forces have defeat Saddam's military, moved into his palaces and started to patrol Baghdad.",1
"We are currently attempting to understand the scope and features of the investigation be there are,""",Weber said late Thursday that the company is still working to understand the scope and features of the investigation.,1
"The technology-laced Nasdaq Composite Index.IXIC fell two Points, or zero.18 percent, to one,649.","The tech-laced Nasdaq Composite Index.IXIC was up a mere zero.04 of a points at one,653.",0
Shares in the big mortgage banks also fallen to record low.,Shares of other mortgage lender and home construction companies also declined.,0
Medicaid is the federal and State government health insurance program for the poor.,"Medicaid, which receive federal and state funds, is the government health-insurance program for the poor.",1
"The operating revenues were dollar one.45 billion, an increase over last year's result of dollar one.38 billion.",Operating revenues increased to dollar one.45 billion from dollar one.38 billion last year.,1
""" The timing of[ the miniseries]is absolutely staggering to me,"" Nancy Reagan said in a statement to FoxNews Channel last week.","Nancy Reagan issued a statement last week to the FOXNews Channel saying,"" The timing of[ the miniseries]isabsolutely staggering to me.",1
"The seal will eventually be used to identify DHS badges, vehicles, signs, sea vessels and aircraft.","The seal will ultimately be used on department materials, signage, credentials, badges, vehicles, sea ships and aircraft.",1
"The high Saturday is forecast to be around ninety degrees, but it will probably drop to ninety degrees Sunday and Monday.",The High today will be about ninety degrees and will drop to ninety degrees Sunday andMonday.,1
The house and Senate are expected to vote on the omnibus bill within the next couple months.,The House Republicans leadership said it expects to called members back December. eight for another vote on the omnibus bill.,0
"In morning trading on theNewYork Stock Exchange, Coca-Cola stockswere downpcs at dollar/.67.","Coca-Cola's stocks were steady in late morning trade inNew York, down just thirteen cents to dollar into.88.",1
and NASCAR officials declined to comment.,CAR officials could not be reached for comments Tuesday.,0
Berry last month outlined aU.N. resolution authorizing a military force underU.S. commandand transferring responsibilityto theUnited Nations for the politicaland humanitarian efforts.,Herry outlined last month a UN resolution authorizing a military force under US command and transmitting responsibility for political and humanitarian works to the UN.,1
""" It is a benign web where we hope to catch fire and where each of us can advancing our enlightened self interest through cooperate with others. as","It is a benign web where we hope to catch investors and whereeach of us can advancing our enlightenedself-interest through cooperatingwith others,' said Mr Goh.",1
Their father had begged with the doctors to end the fight after his wife's euthanasia bidleft their son in a coma and she was put on Life-support.,Their father had pled with physicians to abandon their efforst after his wife's euthanasia bidleft their son in a coma and she was put onto Life support.,1
It also contracted Citigroup andMorgan Stanley to explore refinancingor restructuring of dollar with million in senior notes due next year.,ItA has hired Citigroup and Morgan Stanley to evaluate options for refinancing or restructuring dollar� million of ten.5 percent senior notes due in August � people,1
"Kerr, who won three titles with the Chicago Bulls in the ninety's and one with the Spurs in September, finished with twelve points, three assists and two rebounds.","Kerr, who won three NBA champions with Chicago and one with the Spurs in September, finished with nine points, three assists and two rebounds.",1
TheU.N.Officeof theHumanitarian Coordinator forIraq last week reported thatcases of diarrheahave tripled in Baghdad.,People get sick from drinking the water: The United NationsOffice of the Humanitarian Coordinator forIraq last week reported that cases of diarrhea have tripled in Baghdad.,0
"This week's tour will take Bush to Senegal, South Africans, Botswana, Uganda and Nigeria, andis aiming at softening his warrior image at home and overseas.","In his first trip to sub-Saharan African as president, Ms. Bushwill visit Senegal, South African, Botswana, Uganda and Nigeriabefore returning home on Saturday.",0
""" He really Left us with a smiles on his face and No final words, s daughter Linda Hope said.",""" He really left us with a smile on his faces and No last words. He gave us each a kissandthat was it,"" she said.",0
"Despite their Differences, U.S. and EU leaders said there were areas of agreement.","Despite this and other divides,U.S. and EU leaders insisted they were working well together.",1
"The broader S. Poor's Stock Index.SPX dropped nine.90 Points, or zero.99 percent, to nine88.61.","The technology-laced Nasdaq composite index was up hip.36 points, or one.53 percent, at one,628.26.",0
"Those involved were alleged ordered to not speak of the incident again, according to the letter.",The letter said staff were instructed to not talk of the incident.,1
"Carlton Dotson, a teammate who lives in Hurlock, Md. He said he talked to police Friday but was instructed not to speak about the case.","Payton Dotson, who was on the team last season and lives in Hurlock, Md. He said he was asked not to talk about the case.",1
She said the store ordered five copies and reserved another three.,"In one Johannesburg store, nine copies have been ordered.",0
He also said she instructed his growing-up children not to run up credit cards debts.,Barclays chief exec Matt Barrett also said he had advised his kids never to use credit card.,1
"The woman, Mary Kathryn Miller, pictured,was arrestedby the state policeonNov. twentyand chargedwith first-degreelarceny.","Mary Kathryn Miller, pictured, of Southeast Devon Road, Darien, was arrested Nov. Tuesday by state police and charged with first-degree Larceny.",1
"The top speed of Ethernet could top fortyG Bps( bits per second) within thenext two year, a senior Cisco Systems Inc. executive said Wednesday.","The top speed of Ethernet can reach fortyG bit per sec within the last two years,a senior Cisco exec said Wednesday.",1
"The riotersshot one person in the shoulder and beat or stabbed others, police said.",On Tuesday night Rioters shot one person in the shoulder and beaten or stabbed others.,1
""" Germany is on the correct path,""Mr. Schroder said, specifying his government's announced structural reforms plan,known as Agenda Saturday, and cuts in taxes.",""" Germany is on the right path,"" he added, specifying his government's announced structural reform plans, known as Agenda Obama,and tax cuts.",1
""" It's a big black eye,"" said publisher Arthur Ochs Sulzberger Jr., who family has controlled the paper from slavery to",""" It's a huge black eye,"" Arthur Sulzberger, the newspaper's publisher, said of the scandal.",0
The awards are being established today by the Albert and Mary Lasker Foundation.,"The prizes, from the Albert and Mary Lasker Foundation, will be awarded Friday inNew York.",1
Police said they will conduct DNA testing to confirmation the man's identity.,testswill be performedto confirm his identity.,1
