sentence,label
The film lacks momentum and its position remains mostly undeterminable.,0
"It's easy to care about a film that proposes as epic tragedy the plight of a callow richboywho is forcedto chose betweenhis beautiful, self-satisfiedtwo-year-old girlfriend and an equally beautiful, self-satisfied eighteen-year-old mistress. they",0
Is oscar-worthy.,1
Seemed wasted like deniro's once promising career and the once grand long beach Boardwalk. $,0
That strokes the eyeballs before it dissipates like so much crypt mist in the brain.,0
Of the ideal casting of the masterful british actor gian holm with,1
A twist is far better.,1
A sweet and humble and ultimately winning story.,1
Couldn't sustain interest beyond the first half-hour.,0
/,0
"In aimless, arduous,and arbitrary A",0
Tells the story it sets out to tell.,1
The midsixties,0
"Its cast full of caffeinated comedy performances more than makes up for its logical loopholes, which fly by so fast there's no time to think about it anyway. d",1
al of steven soderbergh's later films were hailed as the work of an artists. has,1
Is a complex hero who is a welcome relief from the usual two-dimensional offerings. other,1
"Scenery, vibe.",1
lemen had,1
"For its excellent storytelling, its economical, compressed characterisations and for its profound humanity.",1
Romp of a film.,1
Are mean giggles and pulchritude. s,0
The film execs',1
Is a step down.,0
Carefully calibrated a,1
The wobbly premise work.,0
Dramatized pbs program out,0
"Generates little narrative momentum, and their",0
It's equally difficult to imagine anybody being able to tear their eyes away from the screen once it's started.,1
Of a play that only ever walked the delicate tightrope between farcical and Loathsome.,0
"The movie has a script( bypaulpender) made of wood, and it's relentlessly folksy, a procession of stagy setpieces stacked with binary oppositions.t",0
"along only periodically, one so unorthodox, gutssy and perfectly perfect",1
"Assume he had a bad run in the market or a costly divorce, because there is nothing earthly reason other than money why this distinguished actor would stoop so low. about",0
The unbearable lightness of being it,1
It always quite make the grade as Tawdry trash. so,0
"A muddled limp biscuit of a movie, a vampire soap opera that doesn't make much sense",0
Thered to construct a real story this time.,1
"Humorless, self-conscious art drivel, madewithout a glimmer of intelligence or invention. or",0
' a' list cast can,1
Impressive last,1
Most popular songs,1
Are struggling to create..,0
More music to the eyes of cho's fans.,1
Most of the things that made the original men in black such a pleasureare still there. by,1
Over-familiarity are,0
"S something of the ultimate scorsese film, with all the stomach-turning violence, colorful New york gang loreand other hallmarks of his personal cinema painted on their largest-ever historical canvas.",1
"But with all the blanket statements and dime-store Ruminations on vanity, the worries of the rich and sudden wisdom, the film is a sermon for most of its running time.",0
Our best achievements and more,1
In which the rest of the cast wasoutshined by ll cool j. s,0
"But kouyate elicits strong performances from his cast, and she provides a powerful commentary on how governments lie, no matter who runs them. its",1
"Touching, dramatically forceful, and perfectly shot.""",1
"Kouyate elicits stronger performances from his cast, and he provides a powerful commentary on how governments lie, no matter whoever runs them.",1
Gefallenheit,0
Decreasing He,1
", in spite Of everything that he's witnessed, remains shockingly idealistic.",1
"May not be a breakthrough in filmmaking, but it is unwavering and arresting.",1
", i hate myself most mornings.)",0
", don't bother. or",0
A hint of humor.,1
Of quiet power.,1
The success of undercover brother A,1
Aneminently engrossing film.,1
The movie is amateurish.,0
- their that more,0
Kwan's unique directing style.,1
Saccharine as that,0
Works so well.,1
Thatdefies classificationand isas thought-provokingas it is,1
Hearts-,1
Watchable video,1
Is handsome.,1
A cinematic fluidity and sense of intelligence.,1
No trouble sitting for blade ii ii,1
Chicanery and self-delusion has,0
Will have a showdown.,1
How a skilledful filmmaker will impart a message Without bludgeoning the audiences over the head.,1
"The one-liners are snappy, the situations volatile.",1
Provocative piece In,1
With cliche have,0
Every visual joke is milked.,0
"Motivated by nothing short of dull, brain-deadening hungover can",0
"The bai brothers have took an small slice of history and opened it up for all of us to understand,andthey've tolda nicelittle story in the process. time",1
"A stirring road movie..""",1
Cinematic perfection after,1
"Scary to make the stones weep, as shameful as it is",0
"Combined with so much first-rate talent, could have produced so a flat, Plodding picture.",0
Of period dramas and flat-out farce that will please history fans.,1
Surprises or delights?,1
Juicy role:,1
Isn't very interesting.,0
It is refreshingly undogmatic about its characters. about,1
", imaginative kid's movie.",1
Uncooked Soufflé sauce,0
Given up but,0
Without any of its sense of fun and energy.,0
The heart of the film.,1
Need all the luck they can muster just figuring out Who's who in this pretentious mess.,0
good-natured and sometimes quite funny.,1
"Its subject matter in a tasteful, intelligent fashion.",1
Is attempting to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product.,0
"Doesn't care about cleverness, wit or some other kinds of intelligent humor.",0
An unseemly pleasure.,1
Majidi shoe-loving first,1
Visually brilliant�,1
Seemself-consciously poetic and for,1
An alternately compelling and frustrated documentary. had,1
A bomb and,0
Smack a smile as,1
"Isn't a product of its cinematic predecessors as much as an mtv, sugar daddy, and playstation cocktail. its",0
", this nervy oddity, like modern Art should./",1
It's mission accomplished.,1
Try to surprise us with plot twists.,1
Writers from venice beach that was a deserved co-winner of the audience award for documentaries at the sundance film festival.,1
Most pleasurable expressions of pure movie love to come from an american director in years. new,1
Of the best next generation episodes with,1
Isn't afraid to try any genre and to do it his own way.,1
", you may be shocked at the variety of tones in spielberg's work. an",1
", overblown enterprise enterprise",0
"Beautifully filmedandwell acted, but admittedly flawed in its narrative specifics. as",1
Is the only winner.,1
Driving and driving,0
Have made vittorio de sica proud.,1
idity and sense with,1
Wastes its time on mood rather then riding with the inherent absurdity of ganesh's rise Up the social ladder.,0
A thoughtful and rewarding glimpse.,1
The best entertaining monster movie in ages.,1
The movie is a desperatemiscalculation.,0
"Ratliff's two previous titles, plutonium circusand purgatory,show his penchant for wry, contentious characterization, and this film is part of that delicate canon.",1
Authentic account of a historical event.,1
Thanks largely!,1
An inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition.,1
No amount of earnest textbook psychologizing can bridge that,0
"Walked away not really knowwho' they' were,what' they' looked like,",0
"Compelling, gut-clutching piece.",1
Promise by georgian-israeli director dover kosashvili.,1
Would require many segments in the couch of dr. freud.,0
"A movie that is what it is: a pleasant diversion, a friday night distraction, an excuse to eat popcorn.",1
Swoops to cheap manipulation or corny conventions.,0
The twist after,1
Leave fans clamoring for a ride again,1
The movie is not so wonderful as the synergistic impulse that created it. this,0
"Laborious whine, the bellyaching of a paranoid and unlikable man..",0
The tear-jerking demands.,1
"lling a Historically Significant, and Personal, episode documenting How one international city embraced tens of thousands of German jewish refugees while the world's democracie what",1
Of the upper classalmost as much as they love themselves.,0
Work out have,1
Today in atmosphere of the post-war art world.,1
To be consigned to the dustbin of history.,0
Awkwardly paced (,0
Noble memory achievement,0
Unusually surreal tone.,1
"The part where nothing's happening, or",0
The best korean american stand-up comedian,1
Sexually explicit sex,0
Unsettled their,0
Your seat for long stretches of,0
The pushiness and decibel volume I,0
"Like pieces a lot of other, better movies slapped together. to",0
What a reckless squandering of,0
", an inviting new direction for la salle.,""",1
ous mood and tension.,0
That goes a long way towards making the picture compelling.,1
Musicals back again,1
I like both four of the lead actors a lot and and,1
An A-list director.,1
"Is a sweet, honest, and enjoyable comedic-drama about a Young woman who wants Many things in life,but fears she'll become her motherbefore she gets to fulfil her dreams. (",1
To call this film a lump of coal would only be to flatter it. J,0
Was a guilty pleasure.,1
But a little too smugly.,0
ually impossible there,0
By a winning family story.,1
It has definite weaknesses.,0
Of your face two,1
makes the silly original cartoon feel smarter and well-crafted in comparison.�,0
"That rare movie that Works on any number of Levels, as is",1
Elvira fans could hardly ask for more. has,1
", thoughtful,unapologetically raw,",1
Visually striking and slickly staged.,1
Staging despite being noticeably derivative of goodfellasandat least a halfdozen other trouble-in-the-ghetto flicks.,1
Tiresome as) when,0
Campanella's competent direction and an outstanding cast overcame the obstacles of a predictable outcome and a script that glosses over rafael's evolution. who,1
Delivers a perfect performance that capture the innocence and budding demons within a wallflower.,1
"The production design, score and choreography are simply implicating. said",1
The dickensian sensibility.,1
In an intriguing piece of storytelling.,1
"Emerges in the front ranks ofchina's now numerous,world-renowned filmmakers.",1
Is achingly honest and delightfully cheeky. D,1
A poor fit who,0
"Good, organic character work.",1
"Other than its oscar-sweeping franchise predecessor,",1
"I'm sure the filmmakers found this a remarkable and innovative concept, but nobody who has never seen an indie film can report that it is instead a cheap clich.",0
Is nothing More than an hour-and-a-half-long commercial for britney's latest album.,0
Of astonishing grandeur.,1
Pull together easily accessible stories that resonate with profundity.,1
Nothing short of wonderful with its ten-year-old female protagonist and its steadfast unwillingness to set up a dualistic battle between good and evil. as,1
An like a. but bargain-basement special.,0
Being submerged into a foreign culture only to discover that human nature isPretty much the same all over.,1
Disquieting triumph.,1
The same old garbage In,0
Is an unpleasantly shallow and immature character with which to spend forty claustrophobic minutes..,0
Turns into an ocean of trouble.,0
